,year,keywords,title,author
0,2019,"0850 Geoscience education research, EDUCATION, 9820 Techniques applicable in three or more fields, GENERAL OR MISCELLANEOUS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Applications of Mixed and Virtual Reality Techniques in Engineering Geology},"{Onsel}, E. and {Chang}, O. and {Mysiorek}, J. and {Donati}, D. and {Zhao}, K. and {Stead}, D. and {Barnett}, W.~P. and {Zorzi}, L. and {Shaban}, A. and {Kang}, H. and {Gao}, F."
1,2022,,{AntARctica: An Immersive 3D Look into Antarctica's Ice Using Augmented Reality and Virtual Reality},"{Boghosian}, Alexandra and {Cordero}, S. Isabel and {Tinto}, Kirsty J. and {Feiner}, Steven and {Yang}, Benjamin and {Bell}, Robin Elizabeth and {Guo}, Shengye"
2,2020,"9820 Techniques applicable in three or more fields, GENERAL OR MISCELLANEOUS, 1980 Spatial analysis and representation, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS, 6344 System operation and management, POLICY SCIENCES \& PUBLIC ISSUES","{JMARS Augmented and Virtual Reality Experiences for Planetary Research, Education, and Collaboration}","{Gold}, L. and {Bartolomea}, H. and {Xiong}, S. and {Gonzalez}, A. and {Powell}, K. and {Dickenshied}, S. and {Anwar}, S. and {LiKamWa}, R."
3,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Immersive Earth Science: Data Visualization in Virtual Reality},"{Skolnik}, S. and {Ramirez-Linan}, R."
4,2023,,{Immersive Hydrodynamic Model for Flood Simulation with Virtual Reality Simulation Environment},"{Hwang}, Sooncheol and {Son}, Sangyoung"
5,2019,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0850 Geoscience education research, EDUCATION",{Developing An Immersive Virtual Reality Environment to Observe the Sun in Different Wavelength},"{Luo}, T. and {Huang}, L. and {Leng}, W."
6,2018,"1920 Emerging informatics technologies, INFORMATICSDE: 1926 Geospatial, INFORMATICSDE: 1992 Virtual globes, INFORMATICSDE: 1994 Visualization and portrayal, INFORMATICS",{Immersive and Collaborative Data Visualization and Analytics Using Virtual Reality},"{Djorgovski}, S.~G. and {Donalek}, C. and {Lombeyda}, S. and {Davidoff}, S. and {Amori}, M."
7,2018,"1920 Emerging informatics technologies, INFORMATICSDE: 1926 Geospatial, INFORMATICSDE: 1992 Virtual globes, INFORMATICSDE: 1994 Visualization and portrayal, INFORMATICS",{Exploring Weather Satellites with Virtual Reality and WebGL},"{Suplinski}, C. and {Robaidek}, J.~O. and {Mooney}, M.~E. and {Kohrs}, R.~A."
8,2024,,{Earth Mission Control: A Virtual Reality Platform for Climate Intelligence and Communication},"{Connolly}, Rachel and {Rathnasabapathy}, Minoo and {Cherner}, Phillip and {Palmer}, Jaden and {Newman}, Dava"
9,2021,,{Towards the development of 3D lunar surface depth-data collection for geology in virtual reality.},"{Paige}, Cody and {Ward}, Ferrous and {Haddad}, Don Derek and {Forsey-Smerek}, Alexandra and {Sanneman}, Lindsay and {Todd}, Jessica and {Colaprete}, Anthony and {Lim}, Darlene and {Heldmann}, Jennifer and {Newman}, Dava"
10,2019,"0850 Geoscience education research, EDUCATION, 9820 Techniques applicable in three or more fields, GENERAL OR MISCELLANEOUS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Virtual Reality for Disaster Resilience (VR4DR)},"{McAdoo}, B.~G. and {White}, T. and {Chen}, Y. and {Scollay}, A."
11,2018,"1920 Emerging informatics technologies, INFORMATICSDE: 1926 Geospatial, INFORMATICSDE: 1992 Virtual globes, INFORMATICSDE: 1994 Visualization and portrayal, INFORMATICS",{Leveraging Virtual Reality as a Tool for Earth Science},"{Roberts}, J.~T."
12,2023,,{NOAA Urban Heat Island Virtual Reality Experience},"{de Ameller}, Rafael and {Hurtado}, Juan Pablo and {Hackathorn}, Eric J."
13,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Meteorological Data Visualization in Multi-User Virtual Reality},"{Appleton}, R. and {van Maanen}, P.~P. and {Fisher}, W.~I. and {Krijnen}, R."
14,2021,,{Visualizing the Solar Corona in Virtual Reality},"{Wolff}, Milana and {Dima}, Gabriel and {Rempel}, Matthias and {Lacatus}, Daniela and {Paraschiv}, Alin and {Lecinski}, Alice and {Malanushenko}, Anna"
15,2018,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0845 Instructional tools, EDUCATIONDE: 0850 Geoscience education research, EDUCATION",{Exploring Earth's Magnetosphere in Virtual Reality},"{Stephenson}, B.~E. and {Boyer}, K. and {Martin}, S.~C. and {Buzulukova}, N. and {Savani}, N. and {Olano}, M."
16,2023,,{Application of Virtual Reality Visualization in Integrated Groundwater Modeling},"{Kourakos}, Georgios and {Harter}, Thomas"
17,2020,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0845 Instructional tools, EDUCATION",{A framework to support the classification of virtual reality experiences in environmental education},"{Hagge}, K.~S. and {Gleasman}, G. and {Wu}, R. and {Boyer}, D.~M. and {Lazar}, K. and {Moysey}, S.~M."
18,2020,"0406 Astrobiology and extraterrestrial materials, BIOGEOSCIENCES, 6225 Mars, PLANETARY SCIENCES: SOLAR SYSTEM OBJECTS, 6297 Instruments and techniques, PLANETARY SCIENCES: SOLAR SYSTEM OBJECTS, 5430 Interiors, PLANETARY SCIENCES: SOLID SURFACE PLANETS",{Folding LiDAR and Scientific Data into Virtual Reality: Creating a Planetary Cave Exploration Utility for Future Missions to Mars},"{Patterson}, C. and {Ortiz}, D. and {Hall}, E.~M. and {Stoutamore}, J. and {Blank}, J.~G."
19,2023,,{EMC: A Virtual Reality Platform for Bridging the Climate Science Communication Gap},"{Cherner}, Phillip and {Newman}, Dava and {Connolly}, Rachel"
20,2019,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0850 Geoscience education research, EDUCATION",{Disk Detective: Combining Citizen Science and Virtual Reality},"{Kuchner}, M.~J. and {Higashio}, S. and {Brandt}, M.~A. and {Silverberg}, S.~M."
21,2021,,{A New Approach to Data Visualization Using Virtual Reality to Improve Mission Planning Workflows},"{Gold}, Lauren and {LiKamWa}, Robert and {Powell}, Kathryn and {Roberts}, Joe"
22,2019,"4313 Extreme events, NATURAL HAZARDS, 4332 Disaster resilience, NATURAL HAZARDS, 4337 Remote sensing and disasters, NATURAL HAZARDS, 4342 Emergency management, NATURAL HAZARDS",{Awash in Data: Virtual Flooding with Virtual Reality Technology},"{Skolnik}, S. and {Silcott}, A."
23,2017,"1916 Data and information discovery, INFORMATICS, 1920 Emerging informatics technologies, INFORMATICS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Generating Contextual Descriptions of Virtual Reality (VR) Spaces},"{Olson}, D.~M. and {Zaman}, C.~H. and {Sutherland}, A."
